episode,macro_latency_mean,summary_latency
1,2.0192240476608276,16.592144012451172
2,1.292031168937683,9.653436183929443
3,1.188463807106018,8.729236364364624
4,1.2319413423538208,9.380680799484251
5,1.1926213502883911,15.36594557762146
6,1.2753291130065918,8.27966833114624
7,2.0451889038085938,7.506275177001953
8,1.2753909826278687,8.937017440795898
9,1.3743911981582642,6.289290904998779
10,1.0717178583145142,13.652683973312378
11,1.5855971574783325,16.785220623016357
12,0.9517768621444702,6.110197305679321
13,3.695120096206665,12.086975574493408
14,5.142345070838928,8.593389511108398
15,1.095682144165039,7.430693864822388
16,0.9966027736663818,11.672176837921144
17,1.2410846948623657,5.802115440368652
18,1.0260889530181885,9.700591325759888
19,1.181795597076416,10.040632963180542
20,1.2295228242874146,10.69965434074402
21,1.0957220792770386,4.87882924079895
22,0.9645237922668458,13.47809076309204
23,0.9052226543426514,14.89200472831726
24,1.4565962553024292,6.844106674194336
25,1.182431936264038,18.9119656085968
26,1.21934974193573,9.661880493164062
27,1.782902717590332,15.236526727676392
28,0.8535082340240479,12.550705432891846
29,1.0826691389083862,12.13437795639038
30,2.0755488872528076,8.188892364501953
31,1.597579836845398,6.891744375228882
32,1.4150601625442505,9.561985731124878
33,2.382011651992798,10.032910346984863
34,2.2461847066879272,14.529529809951782
35,1.9786179065704343,5.808837175369263
36,4.895123481750488,7.0653486251831055
37,1.1658577919006348,7.239478349685669
38,0.9963268041610718,7.614471673965454
39,1.346532940864563,10.475998640060425
40,1.1522655487060547,5.76074481010437
41,1.3284813165664673,7.707189559936523
42,2.1970572471618652,21.52588653564453
43,2.022131323814392,11.554824590682983
44,1.0074772834777832,13.618730306625366
45,1.3338239192962646,6.229956150054932
46,1.2031737565994263,7.274559736251831
47,1.896260380744934,12.789129734039308
48,3.471291661262512,10.09184455871582
49,1.3005566596984863,16.453041791915894
50,2.2663421630859375,8.216777086257935
51,2.0165270566940308,6.640877723693848
52,1.1357009410858154,9.8961181640625
53,1.068921685218811,5.58917236328125
54,3.4870448112487793,10.382242441177368
55,1.064971685409546,6.376228094100952
56,1.1848030090332031,12.462316274642944
57,1.24989652633667,16.126878023147583
58,1.9528917074203491,7.153005361557007
59,1.3608789443969727,8.577345371246338
60,3.1893222332000732,13.752374649047852
61,1.8190613985061646,6.126299858093262
62,0.9912021160125732,5.869881868362427
63,0.992110252380371,16.048758029937744
64,0.8995890617370605,8.221294641494751
65,1.1883467435836792,11.48623538017273
66,1.1065715551376343,15.871445178985596
67,2.0933592319488525,8.224404096603394
68,1.1306648254394531,9.750872135162354
69,6.451448202133179,15.24964451789856
70,2.1649307012557983,8.854925870895386
71,1.230275273323059,8.045727968215942
72,1.083884596824646,18.35158061981201
73,2.360870838165283,8.182010650634766
74,1.0964245796203613,15.670777320861816
75,1.4717707633972168,14.528706073760986
