episode,xi_total,EA_payoff_mean,ED_payoff_mean
1,0.28426666666666667,-15.617669978976892,-5.552267277600308
2,2.000333333333333,-15.435444743697538,-6.677412745924682
3,0.7154133333333332,-15.730539482159895,-6.3901818582480026
4,2.209386666666666,-14.09680614398858,-7.592531978174383
5,1.9866666666666664,-15.250915705067674,-6.886507386650213
6,2.8693333333333335,-13.823488294374505,-7.539045586014707
7,1.5909333333333333,-14.715671885162108,-6.542376525904131
8,0.5813333333333333,-15.455417013075913,-5.7231529220333694
9,0.8234666666666667,-15.24077462796846,-6.281158179845503
10,2.6792,-13.97864061531491,-7.675952849904532
11,0.6206666666666667,-15.427723521701871,-5.758122720783167
12,1.5612066666666666,-14.694164766978886,-6.56098356667016
13,7.125333333333334,-13.123146593509937,-8.739596966405752
14,0.04,-16.158369255620926,-5.641293659911981
15,0.5173333333333333,-15.849577928197844,-5.96442061160757
16,2.852,-15.063679238826383,-7.069523512051305
17,1.084,-15.082293228501094,-6.13830097938526
18,2.032333333333333,-14.432541694380639,-6.83344953600363
19,1.4853333333333334,-15.654241581326463,-6.146607271184889
20,1.66,-14.81247139335365,-6.439449158940351
21,2.2716666666666665,-15.306470949124197,-6.500109796421569
22,1.2603333333333333,-14.958741972661247,-6.581039755240322
23,1.146,-15.030183248393284,-6.188894882178337
24,2.756333333333333,-14.912185810001706,-6.916028922234274
25,0.6529999999999999,-15.40958467340846,-5.782587711309233
26,2.356,-15.308413265732456,-6.488646965799312
27,3.915999999999999,-14.375346933383316,-7.468657345031869
28,1.8728,-14.493129606056565,-6.771255669265548
29,0.7067333333333332,-15.798593816049358,-6.316291662640154
30,1.6892266666666667,-15.404872652644462,-6.404900039178161
31,0.8018666666666665,-15.278649262052603,-5.906690862163888
32,0.6239999999999999,-15.37875809610031,-5.818846560296068
33,1.4533333333333331,-14.890806223812028,-6.343875123660254
34,0.6477333333333333,-15.376462777249397,-5.811398504926482
35,1.4705866666666667,-14.74420666029351,-6.517340620182338
36,0.8929066666666667,-15.125019144374276,-6.091525387317146
37,3.0146666666666664,-14.705362677006784,-7.472742310089311
38,0.29566666666666663,-15.618270512177887,-5.552772542141076
39,3.25025,-13.490237040238469,-7.886999329044264
40,0.8359999999999999,-15.77965939412261,-6.02900591093284
41,3.250666666666666,-14.968985734747452,-6.825876310674859
42,0.20666666666666667,-16.077413864758164,-5.724789305284459
43,0.5539166666666666,-15.427616196372988,-6.062328955026754
44,1.0712,-15.05306458029552,-6.173269933938133
45,0.4931666666666667,-15.498638722808131,-5.673953123728866
46,0.15333333333333332,-15.731125883373434,-5.4248193680250445
47,0.8986666666666665,-15.151938203712415,-6.071324637450267
48,1.0825066666666663,-15.04490022666949,-6.168781506834792
49,0.46533333333333327,-15.966733653812398,-5.823989184154351
50,1.8917333333333328,-14.452880315502696,-6.836196039319628
51,0.8541466666666666,-15.708219662182707,-6.1047826646715535
52,0.65595,-15.888525582780307,-5.914592133383594
53,2.0853333333333333,-14.366089629897228,-6.936231788714551
54,0.5386,-15.433364721172536,-5.752849079209541
55,0.22933333333333325,-16.2718161782997,-5.857488943504263
56,1.7253333333333332,-15.203177126812058,-6.6337009459448355
57,1.3462933333333333,-15.607759956326873,-6.199403091265365
58,1.1754666666666664,-14.97750023952208,-6.24298003605785
59,0.8253866666666666,-15.234335992643047,-5.969250840160479
60,0.4599999999999999,-15.526471663762756,-5.654562775988916
61,2.5867866666666663,-15.071974114836589,-7.052139527977625
62,0.12333333333333325,-16.11443164131791,-5.6871629784198845
63,2.086773333333333,-15.25066823915315,-6.554927229998561
64,1.5185333333333333,-15.488344168610368,-6.322372567689864
65,0.22933333333333325,-15.685348010408688,-5.471646512568222
66,0.5685333333333333,-15.431218965827236,-5.743742589207672
67,1.5573333333333332,-14.873619131754829,-6.684416667761986
68,2.6538666666666666,-13.979288727795582,-7.3566597861069525
69,0.2673333333333333,-15.654601058342948,-5.505916513226033
70,0.8893333333333333,-15.239318912271429,-5.951542573081801
71,2.753386666666666,-13.67205855317445,-7.719982303530598
72,4.157333333333333,-13.133994017105,-8.284985474210009
73,1.2146666666666668,-15.064985527523831,-6.464220751831261
74,1.2426666666666666,-15.69423284926168,-6.1100176508329564
75,0.29599999999999993,-15.637456886606753,-5.528811269867264
76,0.31599999999999995,-15.628902587973071,-5.535049632141705
77,0.6859999999999999,-15.847747384799057,-5.959941357831954
78,3.8503333333333325,-13.194893858188339,-8.222353910476734
79,1.9489999999999998,-15.677459187567571,-6.393814731277477
80,5.356,-12.397191344649414,-9.094924470489923
81,1.4290533333333333,-14.676110365219039,-6.603011806534428
82,1.5346666666666664,-14.804568359748732,-6.439360642707839
83,1.1653333333333333,-15.07559439515296,-6.153834456042244
84,1.7751999999999997,-14.507594111418683,-6.770575991330065
85,0.0533333333333333,-15.794129717363617,-5.655147421703772
86,1.0285333333333333,-15.114947979939501,-6.103032519651627
87,2.418,-15.069982883202501,-6.754994529675072
88,0.09833333333333326,-16.132784572946754,-5.667269395120746
89,2.63825,-13.91854582953473,-7.438424163470889
90,1.5906666666666667,-15.479351013986268,-6.33110081033772
91,0.0533333333333333,-16.137645115579506,-5.958905030182583
92,2.5126666666666666,-15.228914366601394,-6.57355188290305
93,3.0613333333333332,-15.043576435764841,-6.767328883446129
94,1.0016666666666665,-15.131527869524904,-6.085243174183931
95,3.0120533333333332,-13.721450937477746,-7.648034117136353
96,0.7839999999999999,-15.309282524343788,-5.893547091865356
97,3.422613333333333,-14.39434659751954,-7.794033163432928
98,1.9379999999999997,-15.309761507559013,-6.504477443558696
99,2.3398333333333334,-14.254016002070317,-7.044171890034013
100,1.768,-14.558074134494035,-6.7172966822794
101,1.1563733333333333,-15.023524272441982,-6.196183006330839
102,1.3976666666666664,-14.916475430859656,-6.317669646100864
103,1.3690666666666664,-15.615247010131316,-6.580070392727293
104,0.2626666666666666,-16.083980673594194,-5.714789662915788
105,1.0533333333333332,-15.062197730763907,-6.163933076288265
106,1.8856666666666666,-14.45182405124801,-6.8413839720665
107,0.8955733333333333,-15.157601895559141,-6.048932747968191
108,3.363786666666666,-13.46110667493559,-7.873136028997571
109,0.15333333333333332,-15.734674640545286,-5.721450369181802
110,0.42533333333333323,-16.04564175090421,-5.752127123307531
111,0.5233333333333333,-15.46098366183245,-5.722277757199761
112,1.650333333333333,-14.597794773349309,-6.692997658019212
113,0.9293333333333333,-15.144054634940673,-6.075354486267594
114,5.058583333333333,-12.25156108622096,-9.223170113039851
115,2.541333333333333,-13.971614713898425,-7.73004657222274
116,0.9526666666666666,-15.145036325005101,-6.076858098691473
117,3.4889999999999994,-13.263921784045245,-8.142772723639462
118,0.9196266666666667,-15.085873744822784,-6.146925073806484
119,2.3150833333333334,-14.810732897317749,-7.047272077283182
120,1.244,-15.006302128894266,-6.198660235697597
121,2.6155733333333333,-14.096074326115254,-7.2024779559393615
122,2.2858666666666663,-14.094271242951717,-7.24826309041032
123,1.3176,-14.952227939830795,-6.280968778711085
124,0.8367266666666666,-15.14528195998694,-6.074877004447865
125,0.32053333333333334,-15.606413212216115,-5.556356684316005
126,2.12,-14.441795665788295,-6.8383523242573165
127,0.20906666666666665,-15.659319078164948,-5.811312486734527
128,5.768033333333332,-11.630569439260896,-9.925972107875829
129,0.0666666666666666,-15.79339483157526,-5.356214390401295
130,0.441,-15.520515962662305,-5.657062070158249
131,3.689333333333333,-14.391686027538746,-7.452329328614249
132,1.1658333333333333,-14.992669002606437,-6.23803459989756
133,1.3559999999999999,-14.921697977644449,-6.644661047773241
134,2.550133333333333,-14.170402938131042,-7.126258186238052
135,0.5746666666666665,-15.445388130343671,-5.732687808732491
136,4.854453333333333,-12.352925514045339,-9.112508196834098
137,0.5559999999999999,-15.497096894248415,-5.682308180648421
138,1.0666666666666664,-15.720710936441002,-6.086091432183402
139,0.5986666666666666,-15.864088603171947,-6.250078728515059
140,2.4386666666666668,-14.011537978452207,-7.3467343865426065
141,1.1562666666666666,-15.041627088967235,-6.179409088820799
142,0.8278933333333334,-15.228977700565586,-5.967888048893251
143,0.5119999999999999,-15.489952112190606,-5.683777896251957
144,0.9160666666666666,-15.140194334136883,-6.080112005878127
145,0.26933333333333326,-15.63080446584843,-5.838312941707574
146,0.8165833333333333,-15.225516780626588,-5.989818610948516
147,1.973653333333333,-14.366007527215679,-6.91897375756807
148,0.7538666666666667,-15.268269754603587,-5.92634203134581
149,0.1066666666666666,-15.765698411156812,-5.385937257681217
150,0.23866666666666664,-15.696345108876486,-5.460194367530903
151,2.224133333333333,-14.06850136900127,-7.616604066112398
152,0.7872999999999999,-15.228119205334485,-5.971697392698952
153,0.2885333333333333,-15.620309924690304,-5.547322358106198
154,2.1786666666666665,-14.415060977858943,-6.857767159433273
155,2.2575366666666663,-14.168374110946832,-7.151456385398024
156,0.32799999999999996,-15.991654428930282,-5.815290312698016
157,0.9919999999999999,-15.245232677567756,-6.266992748218833
158,0.41733333333333333,-15.94854122493201,-5.859454930060441
159,1.5008333333333332,-14.769696803764777,-6.474187975161474
160,2.1259066666666664,-15.175021412539873,-6.643339663962266
161,2.1810666666666667,-14.418906299650457,-6.886124692010355
162,1.9000533333333331,-14.326803050694629,-6.97787666275709
163,0.2581333333333333,-15.643758375942856,-5.821637160503089
164,1.7650666666666663,-15.385510985328406,-6.425934011584874
165,0.6729999999999999,-15.927987642759037,-5.871265411524071
166,0.0333333333333333,-15.81553557361759,-5.332560267006432
167,0.3506666666666667,-15.978382029546696,-5.82911369674589
168,1.4888,-14.656269160731457,-6.613050486881779
169,0.9166666666666666,-15.673280915059014,-6.448741907372708
170,2.179733333333333,-15.165063561835371,-6.6584409257723
171,2.2974666666666668,-14.08831158318987,-7.231497039914675
172,0.09999999999999995,-15.771254089532928,-5.379868513796156
173,0.22933333333333325,-15.671003802788803,-5.493314495799404
174,1.2773333333333332,-14.945768680253735,-6.30561572995245
175,0.08333333333333325,-16.121656864179087,-5.976085115843263
176,0.3366666666666666,-16.0421559340567,-5.757741792859038
177,1.8900800000000002,-14.28011694536492,-7.05135310708379
178,1.2143333333333333,-15.667152919818555,-6.140193537616256
179,0.2116666666666666,-15.698915331012461,-5.458359925578156
180,2.9537733333333325,-13.712204494826478,-7.624961914863267
181,0.5653333333333332,-15.428858808217239,-6.070551887415597
182,5.169636666666666,-12.294788441483952,-9.124287770965218
183,2.3993333333333333,-14.208470725281062,-7.110042246418697
184,2.091,-15.311942810388198,-6.498282989390621
185,0.28283333333333327,-16.03864923105447,-5.76434830111306
186,0.16399999999999995,-15.720160855334182,-5.438249699369016
187,1.1301333333333332,-14.95728959728429,-6.604093521093715
188,0.8908333333333334,-15.749650043914556,-6.060125607655209
189,2.5759999999999996,-15.082771523221467,-6.740594980945682
190,0.34304,-15.574575761607742,-5.599966577284343
191,0.8655999999999999,-15.720848023997231,-6.092308485401482
192,2.2994666666666665,-14.147854917817913,-7.137262365128521
193,0.3649999999999999,-15.582509626321505,-5.888281355094902
194,0.13333333333333325,-15.7539438267714,-5.398445305846109
195,1.8524333333333332,-14.496141108823537,-6.776418056317415
196,0.5666666666666667,-15.977470728315255,-5.823512630478907
197,0.5533333333333333,-15.503942419980923,-5.671925538604662
198,0.1251733333333333,-15.722464605775702,-5.437398111985079
199,1.2839999999999998,-15.676556232846439,-6.432113837533146
200,1.5152499999999998,-14.799538971953613,-6.422437343638048
201,0.3066666666666666,-16.041506611856935,-5.76077776785502
202,1.6557333333333335,-14.808630465118743,-6.421054122697709
203,1.3909333333333334,-14.81537503995335,-6.436123210649432
204,0.3658666666666667,-15.98335379525738,-5.821570265336693
205,0.8950666666666667,-15.297481211062163,-6.234448568790649
206,0.6858666666666666,-15.394972876985701,-5.78857396287809
207,0.5293333333333333,-15.434899682446401,-5.74493783079941
208,1.5733333333333333,-15.673827125309511,-6.120120926572508
209,0.3970833333333333,-15.562943455033453,-5.606170117724541
210,0.7746666666666666,-15.882925813238117,-5.9196124108239125
211,0.8223333333333332,-15.827387778543994,-6.279337358635871
212,1.1089166666666666,-15.763623438372218,-6.036697103074599
213,1.1940666666666666,-15.683765162057137,-6.1180434101845895
214,0.8516666666666667,-15.250947724908702,-5.943825721439922
215,0.38538666666666666,-15.97661188491,-5.82851866907277
216,1.9181199999999998,-14.446548662428217,-6.823897815014995
217,2.5949333333333335,-13.830226907058927,-7.8706617255207565
218,0.8129066666666667,-15.225274923427204,-5.987321330583947
219,2.4229866666666666,-15.008746317151738,-6.8056671290053
220,1.5352,-15.483904385964532,-6.3344123127610406
221,0.9426666666666667,-15.181255456799054,-6.018185722194138
222,0.16399999999999995,-16.097016287968408,-5.704044419703855
223,0.1866666666666666,-15.70783743725345,-5.750948584333793
224,0.1653333333333333,-15.719639146378112,-5.438194302024729
225,0.45273333333333327,-15.511281049682445,-5.664636799042473
226,2.6106666666666665,-14.034778992111386,-7.2977514960256915
227,0.2733333333333333,-15.645540438406336,-5.518854533242935
228,0.4773333333333333,-15.97021966186567,-5.831399965722252
229,1.0306133333333332,-15.004953298927465,-6.535163736607538
230,0.69,-15.354926467529422,-5.840142692656949
231,1.8346666666666667,-14.612507996031987,-6.667017519440645
232,0.9537499999999999,-15.168909116042357,-6.041088114837084
233,0.32533333333333325,-15.993215887681295,-5.813664032221796
234,1.42112,-15.516813633609688,-6.291083391210247
235,0.9606666666666666,-15.675568107452941,-6.446949224914036
236,0.8926666666666666,-15.690780017405908,-6.125953665561873
237,1.6423999999999999,-14.643482218223287,-6.597327157445937
238,1.48,-14.84907141568951,-6.40582872396155
239,1.3193333333333332,-15.502704760687106,-6.3172917403447455
240,1.1463999999999999,-15.00459586895743,-6.206780234341545
241,4.7653333333333325,-13.626744774155307,-8.619921947822705
242,0.9369999999999997,-15.204707043878418,-5.986304897691719
243,0.7962666666666667,-15.227263842821962,-5.979467385090678
244,2.440533333333333,-15.175262660936326,-6.635285052331383
245,4.493666666666666,-12.7363784166151,-8.66464390493533
246,2.130533333333333,-14.260929987920047,-7.0562213079035505
247,0.9533333333333331,-15.178145165805981,-6.343554539253395
248,1.9625333333333332,-14.47219367032635,-6.782137603794703
249,1.5277333333333334,-14.65262233167476,-6.593537356987081
250,2.6483199999999996,-13.999140743597321,-7.286292482964061
251,1.4746,-14.781788546668293,-6.460947931323325
252,3.043906666666666,-13.616747258548205,-7.744096468131659
