episode,s_P1,s_P2,pP1_GA1,pP1_GA2,pP1_GA3,pP2_GA1,pP2_GA2,pP2_GA3,p_GA1,p_GA2,p_GA3
46,0.4220169720881345,0.5779830279118655,0.8113590107811551,0.0575758639961694,0.1310651252226755,0.8117853640889652,0.0574976639066563,0.1307169720043785,0.8116054357569634,0.0575306656716497,0.1308638985713869
47,0.4196941723978882,0.5803058276021117,0.8141680588382928,0.0570532925760369,0.1287786485856704,0.8145786216079819,0.0569795031858093,0.1284418752062088,0.8144063108061398,0.0570104721628726,0.1285832170309876
48,0.4173132318072038,0.5826867681927962,0.8168172503849562,0.0565746484076366,0.1266081012074072,0.817213642994826,0.0565046471856818,0.126281709819492,0.8170482231137368,0.0565338596218462,0.1264179172644169
49,0.4149181784216367,0.5850818215783633,0.8193182045141019,0.0561365999257638,0.1245451955601342,0.8197014308579883,0.0560699709416147,0.1242285982003969,0.8195424232814598,0.0560976165183479,0.1243599602001922
50,0.4125873989649015,0.5874126010350985,0.8216840057071314,0.0557363621279309,0.1225796321649376,0.822054126075555,0.0556729864966379,0.1222728874278069,0.8219014190754432,0.0556991344835108,0.1223994464410459
51,0.4128207612811757,0.5871792387188243,0.8238321897763684,0.0553573080119158,0.1208105022117158,0.8242054754889129,0.0552922916707795,0.1205022328403075,0.8240513753968848,0.0553191317662231,0.120629492836892
52,0.4104312221621995,0.5895687778378004,0.8259430190032622,0.0550229556345921,0.1190340253621455,0.8263042732484267,0.0549608474695039,0.1187348792820694,0.8261560032270725,0.0549863385996073,0.1188576581733201
53,0.4115070423110379,0.588492957688962,0.8279073502551512,0.0547124966752088,0.1173801530696399,0.8282625497675895,0.0546514327378324,0.1170860174945781,0.8281163826667957,0.054676560978094,0.1172070563551102
54,0.4129838190940622,0.5870161809059378,0.8297873114461708,0.0544320901542407,0.1157805983995885,0.8301322123320821,0.0543733260552317,0.1154944616126859,0.8299897738470096,0.0543975946772661,0.1156126314757243
55,0.4107026266891782,0.5892973733108219,0.8315755722892558,0.0541772230459318,0.1142472046648123,0.8319084095179702,0.0541212457615603,0.1139703447204694,0.8317717123938773,0.0541442357792866,0.114084051826836
56,0.4085185588315675,0.5914814411684325,0.8332654381446417,0.0539492352628748,0.1127853265924833,0.8335859424387199,0.0538960689220144,0.1125179886392656,0.8334550104864038,0.053917788358961,0.1126272011546351
57,0.4100844120926846,0.5899155879073154,0.834854207102687,0.0537337354265158,0.1114120574707971,0.8351652310287125,0.0536824602244887,0.1111523087467988,0.8350376849648615,0.0537034873855669,0.1112588276495715
58,0.4110399873878247,0.5889600126121753,0.8363215023855928,0.0535311368881528,0.1101473607262545,0.8366296994964985,0.0534796810760544,0.1098906194274469,0.8365030181599187,0.0535008314724104,0.1099961503676707
59,0.4127411560051109,0.5872588439948891,0.8377493582082092,0.053352023364826,0.1088986184269646,0.8380470125550818,0.0533028127550294,0.1086501746898886,0.8379241583558638,0.0533231239990046,0.1087527176451316
60,0.4100335491017016,0.5899664508982985,0.8390734964667304,0.0531839454566248,0.1077425580766448,0.8393657542600168,0.0531353485634053,0.1074988971765779,0.8392459187597827,0.0531552749200074,0.1075988063202097
61,0.4077139889722539,0.5922860110277461,0.8403449648822551,0.0530330648501741,0.1066219702675708,0.840628203624678,0.0529862357235488,0.1063855606517729,0.8405127232271734,0.0530053286135653,0.1064819481592613
62,0.4041866424761022,0.5958133575238977,0.841477581052249,0.0528839231349786,0.1056384958127724,0.8417650698411662,0.0528346715259291,0.1054002586329047,0.8416488707128241,0.0528545783684274,0.1054965509187484
63,0.4059428984831514,0.5940571015168485,0.8426210090121224,0.0527588620729322,0.1046201289149454,0.8428985518584853,0.0527117779112794,0.1043896702302352,0.8427858853109794,0.0527308913923334,0.104483223296687
64,0.4072557094841457,0.5927442905158542,0.8436785948085561,0.0526404014684728,0.1036810037229711,0.8439510049153476,0.0525939304902532,0.1034550645943992,0.8438400643440355,0.0526128560614584,0.103547079594506
65,0.4087248030664385,0.5912751969335615,0.8446864553301082,0.0525330300883124,0.1027805145815793,0.8449523173669475,0.0524876441752275,0.1025600384578249,0.8448436529582976,0.0525061945236151,0.1026501525180872
66,0.4100960573599749,0.589903942640025,0.8456341863816157,0.0524336724399401,0.1019321411784442,0.8458946755727632,0.0523890026935224,0.1017163217337144,0.8457878499824887,0.0524073215804116,0.1018048284370997
67,0.4078718699783631,0.5921281300216369,0.8465482812398015,0.0523453640744095,0.1011063546857888,0.846800110591208,0.0523024907914609,0.1008973986173309,0.8466973964827345,0.0523199775975493,0.1009826259197161
68,0.4043349584411144,0.5956650415588856,0.8473415770715196,0.0522528245132646,0.1004055984152157,0.8475985936612853,0.0522072559253589,0.1001941504133557,0.8474946728691437,0.052225680898456,0.1002796462324002
69,0.4018667125712789,0.5981332874287212,0.8481458513983462,0.0521768029902898,0.0996773456113639,0.8483971639802323,0.0521321847555286,0.099470651264239,0.848296169819122,0.0521501153388528,0.0995537148420252
70,0.3998117836288846,0.6001882163711154,0.8489263197015053,0.0521101495229786,0.0989635307755159,0.8491683076665126,0.0520676743539314,0.0987640179795559,0.8490715580266064,0.0520846564270281,0.0988437855463655
71,0.3977406473781088,0.6022593526218912,0.8496622412062961,0.0520484316619559,0.098289327131748,0.8498957527388847,0.0520078029066101,0.0980964443545052,0.8498028757107428,0.0520239626140635,0.0981731616751938
72,0.3941853776817164,0.6058146223182836,0.8502796339742005,0.0519788132868391,0.0977415527389602,0.8505201171296427,0.0519349538465303,0.097544929023827,0.8504253221861886,0.0519522425965734,0.0976224352172379
73,0.3879829504928674,0.6120170495071326,0.850717694900543,0.0518915430248587,0.0973907620745982,0.8509924254413982,0.0518357594941613,0.0971718150644405,0.8508858346755668,0.0518574025529901,0.0972567627714431
74,0.3857128346614092,0.6142871653385907,0.8513372966632032,0.051845554522966,0.0968171488138307,0.8516042642710075,0.0517918658975246,0.0966038698314677,0.8515012914382386,0.0518125742894327,0.0966861342723287
75,0.3827361775209104,0.6172638224790896,0.851885403264089,0.051796892048944,0.0963177046869669,0.8521523100922239,0.0517427164741702,0.0961049734336058,0.8520501551930694,0.0517634514265741,0.0961863933803564
76,0.3846677369362232,0.6153322630637768,0.8524564210790412,0.05176078378627,0.0957827951346886,0.8527129697146505,0.0517095576541037,0.0955774726312458,0.8526142837315767,0.0517292626944361,0.0956564535739873
77,0.3827946051371195,0.6172053948628804,0.8529997537524432,0.0517278421679768,0.0952724040795799,0.8532459065815843,0.0516795168266895,0.0950745765917263,0.8531516806065498,0.0516980155066257,0.0951503038868245
78,0.3807041543259312,0.6192958456740688,0.8535016907779414,0.0516952719012919,0.0948030373207667,0.8537403693620259,0.0516488141522776,0.0946108164856965,0.8536495034335163,0.051666500810328,0.0946839957561557
79,0.3813279033110524,0.6186720966889477,0.8539205050351822,0.0516558028631654,0.0944236921016523,0.8541629744866688,0.0516074222878659,0.0942296032254652,0.8540705141191165,0.0516258711512058,0.0943036147296776
80,0.3789578522798374,0.6210421477201626,0.8543837693036482,0.0516313203140388,0.093984910382313,0.8546216983478552,0.0515838481033199,0.0937944535488248,0.8545315332682676,0.0516018380703369,0.0938666286613955
81,0.3782448674613843,0.6217551325386156,0.8546882890735045,0.0515857164983178,0.0937259944281777,0.8549428234475771,0.0515321269469027,0.0935250496055201,0.8548465471269916,0.051552396919675,0.0936010559533333
82,0.3756739415366944,0.6243260584633056,0.855070743481727,0.0515598851769373,0.0933693713413358,0.8553222013035233,0.0515069368052381,0.0931708618912386,0.8552277351524789,0.0515268281287323,0.0932454367187889
83,0.3731897474541195,0.6268102525458805,0.8554355042642627,0.0515365009960035,0.0930279947397336,0.8556834218379903,0.0514843440733528,0.0928322340886569,0.8555909015412615,0.0515038085021448,0.0929052899565937
84,0.3703538199688196,0.6296461800311803,0.8557613167014969,0.0515116077132691,0.0927270755852339,0.8560096169316047,0.0514589104179298,0.0925314726504655,0.8559176579928851,0.0514784270625607,0.0926039149445541
85,0.3666158618988501,0.6333841381011498,0.8560213291266068,0.0514805825149292,0.092498088358464,0.8562793309989937,0.0514242418332707,0.0922964271677354,0.8561847434201771,0.0514448972208369,0.0923703593589859
86,0.3649052013137203,0.6350947986862796,0.8563681646235269,0.0514692461166435,0.0921625892598293,0.8566153162379722,0.051416311460689,0.0919683723013388,0.856525129328348,0.0514356275919765,0.0920392430796753
87,0.3630822105290103,0.6369177894709898,0.8566899813896576,0.0514573976644522,0.0918526209458902,0.8569282164322121,0.05140713049372,0.091664653074068,0.8568417175263359,0.0514253816091865,0.0917329008644776
88,0.3599628065619132,0.6400371934380868,0.8569278077603031,0.0514348944376732,0.0916372978020235,0.857170786498093,0.0513825928621778,0.0914466206397291,0.8570833231897034,0.0514014194840807,0.0915152573262158
89,0.3617571051744723,0.6382428948255278,0.8572105004239334,0.0514240614565215,0.091365438119545,0.8574464534323916,0.0513737994010537,0.0911797471665546,0.8573610957550944,0.0513919820567399,0.0912469221881655
90,0.3613493505522901,0.63865064944771,0.8573718744966523,0.0513958920784218,0.0912322334249257,0.8576221093978474,0.0513403954713043,0.0910374951308481,0.8575316871788152,0.0513604491342441,0.0911078636869407
91,0.3588845052128847,0.6411154947871154,0.8576045071641978,0.0513838238314676,0.0910116690043346,0.8578521985853028,0.0513289552555914,0.0908188461591057,0.8577633059721941,0.0513486467372964,0.0908880472905094
92,0.3609710481131372,0.6390289518868628,0.8578635019235545,0.0513792321910606,0.0907572658853849,0.858101091914416,0.0513275671953505,0.0905713408902335,0.8580153288063934,0.0513462167630027,0.0906384544306037
93,0.3627253496266853,0.6372746503733147,0.8580935113603156,0.0513720997255533,0.090534388914131,0.8583246364612043,0.0513223146325761,0.0903530489062195,0.858240801528177,0.0513403729478325,0.0904188255239905
94,0.3632742430636018,0.6367257569363983,0.8582543384104889,0.051355581106415,0.090390080483096,0.8584906330176811,0.0513036533034833,0.0902057136788355,0.8584047932731134,0.0513225173367873,0.0902726893900993
95,0.3646502457433459,0.6353497542566541,0.858445705824426,0.0513471659063805,0.0902071282691935,0.8586789922971202,0.0512959684387166,0.0900250392641631,0.8585939243275237,0.0513146376078817,0.0900914380645946
96,0.3617242862623043,0.6382757137376956,0.8585992281066102,0.0513345509737717,0.0900662209196182,0.8588351266410464,0.051282147347632,0.0898827260113215,0.8587497964120472,0.0513011030118949,0.0899491005760579
97,0.358822924534258,0.641177075465742,0.8587439273540978,0.0513228649900327,0.0899332076558695,0.8589823131266416,0.0512693435104584,0.0897483433629,0.8588967748465699,0.0512885482442846,0.0898146769091452
98,0.3556650761804867,0.6443349238195134,0.8588660949199907,0.0513096058351468,0.0898242992448625,0.859109660332404,0.0512540768161039,0.0896362628514921,0.859023032621443,0.051273826548892,0.0897031408296649
99,0.3566463741031951,0.6433536258968049,0.8590031251842942,0.0513011655544357,0.0896957092612699,0.8592472157393183,0.0512452970961442,0.0895074871645375,0.8591601617279162,0.0512652223792206,0.0895746158928632
100,0.3570225682052914,0.6429774317947086,0.8591040357534667,0.051288403385906,0.0896075608606272,0.8593542871539365,0.0512302774814023,0.089415435364661,0.8592649417562439,0.0512510297411075,0.0894840285026486
101,0.3553301102898124,0.6446698897101877,0.8592783720108081,0.05129037990625,0.0894312480829416,0.8595186436941535,0.0512356182191435,0.0892457380867029,0.859433267930411,0.0512550766954627,0.0893116553741263
102,0.3530797625175826,0.6469202374824174,0.859415196898614,0.0512869871481317,0.0892978159532543,0.8596517750814845,0.0512333246586238,0.0891149002598915,0.8595682441128598,0.0512522717976754,0.0891794840894648
103,0.3510714214872682,0.6489285785127318,0.8595556161174122,0.0512856093820139,0.089158774500574,0.8597865549635141,0.0512336956721981,0.0889797493642877,0.8597054789345364,0.0512519210920978,0.0890425999733657
104,0.3479004228693548,0.6520995771306453,0.859629185246898,0.0512738974303837,0.0890969173227184,0.8598666004421777,0.0512194791874599,0.0889139203703622,0.8597840035953443,0.0512384113171849,0.0889775850874707
105,0.3499544575314029,0.6500455424685971,0.8597737635174718,0.0512762230451565,0.0889500134373715,0.8600022891539096,0.0512247242226168,0.0887729866234735,0.8599223155887781,0.0512427464651222,0.0888349379460997
106,0.3514263609138112,0.6485736390861888,0.8598839155401018,0.0512734230854035,0.0888426613744946,0.8601094795853909,0.0512227117822961,0.0886678086323131,0.8600302104338018,0.0512405330710043,0.0887292564951937
107,0.3486898293292629,0.6513101706707372,0.8599620296808965,0.0512662017249618,0.0887717685941416,0.8601900170685938,0.0512144023104971,0.0885955806209091,0.8601105201852882,0.0512324642394861,0.0886570155752254
108,0.346709827509628,0.6532901724903721,0.8600721593535909,0.0512658829950845,0.0886619576513246,0.8602951449274412,0.0512156109348204,0.0884892441377384,0.8602178336375943,0.0512330407521631,0.0885491256102425
109,0.343200055955552,0.6567999440444481,0.8600978887115426,0.0512518006798271,0.0886503106086302,0.8603318509604719,0.0511974972534207,0.0884706517861074,0.8602515551035479,0.051216134192402,0.0885323107040501
110,0.3416098863556042,0.6583901136443959,0.8602169692206381,0.0512555591783766,0.0885274716009854,0.8604421981846702,0.0512041690522641,0.0883536327630655,0.8603652577438633,0.0512217244274052,0.0884130178287315
111,0.3393494321783494,0.6606505678216507,0.8602955260575205,0.0512527933853518,0.0884516805571276,0.8605194440474944,0.0512016610042882,0.0882788949482173,0.8604434576047422,0.0512190127487681,0.0883375296464896
112,0.341156206558509,0.658843793441491,0.8603907200192016,0.051253799897947,0.0883554800828513,0.8606092368325844,0.0512043502376389,0.0881864129297767,0.8605346884654614,0.0512212202961652,0.0882440912383733
113,0.3394931186787036,0.6605068813212965,0.8604897961131768,0.0512561244722301,0.0882540794145931,0.8607014783108368,0.0512088221389161,0.088089699550247,0.8606296136613845,0.0512248809555737,0.0881455053830418
114,0.3375703019811976,0.6624296980188024,0.8605698874248361,0.051255648075365,0.0881744644997988,0.8607779367848674,0.0512093275567966,0.088012735658336,0.8607077054995746,0.0512249639882377,0.0880673305121877
