method,scenario_id,num_stages,attack_success_rate,defense_executed_rate,defense_success_rate,defense_confirmed_rate,defense_effects_confirmed_rate,mean_sensor_to_edge_latency_delta_ms,mean_edge_to_cloud_latency_delta_ms,mean_throughput_delta_bps,mean_flow_rules_installed,mean_meters_added,mean_controller_apply_ms,mean_llm_latency_ms,llm_request_success_rate,llm_parse_success_rate,llm_fallback_rate,paper_valid_stage_rate,defense_applied_but_ineffective_rate
Baseline game,sen4_edge2_clouddb,22,0.18181818181818182,0.6363636363636364,0.0,0.6363636363636364,0.36363636363636365,-0.048239669421487615,-0.583090909090909,0.20503305415307047,12.045454545454545,0.22727272727272727,2.612176720628089,,,,0.0,1.0,0.6363636363636364
LLM defender,sen4_edge2_clouddb,5,0.8,1.0,0.2,1.0,1.0,-1.0120456181818183,-0.32039999999999996,-54.05025482034532,20.0,0.0,2.335204411065206,231484.81794241816,1.0,1.0,0.0,1.0,0.8
