method,scenario_id,num_stages,attack_success_rate,defense_executed_rate,defense_success_rate,defense_confirmed_rate,defense_effects_confirmed_rate,mean_sensor_to_edge_latency_delta_ms,mean_edge_to_cloud_latency_delta_ms,mean_throughput_delta_bps,mean_flow_rules_installed,mean_meters_added,mean_controller_apply_ms,mean_llm_latency_ms,llm_request_success_rate,llm_parse_success_rate,llm_fallback_rate,paper_valid_stage_rate,defense_applied_but_ineffective_rate
Baseline game,sen4_edge2_clouddb,19,0.15789473684210525,0.6842105263157895,0.0,0.6842105263157895,0.3157894736842105,-0.053186602870813414,-0.574,0.2503374110335579,13.68421052631579,0.0,2.743959413428935,,,,0.0,1.0,0.6842105263157895
LLM defender,sen4_edge2_clouddb,13,0.38461538461538464,0.3076923076923077,0.6153846153846154,0.3076923076923077,0.5384615384615384,-0.5518468531468532,-0.7923986013986013,18.09669751445112,6.153846153846154,0.0,1.1496450774407445,205341.48278868478,1.0,1.0,0.0,0.15384615384615385,0.23076923076923078
