episode,DC_ASSC,DC_NC,DC_AIC,AC_total
1,1.7600000000000002,4.750208125210601,0.0,16.75
2,1.2400000000000002,4.625934076042911,0.0,16.75
3,1.7600000000000002,4.750208125210601,0.0,11.3
4,1.7600000000000002,4.750208125210601,0.0,11.3
5,1.3200000000000003,4.625934076042911,0.0,11.3
6,0.8800000000000001,4.5016600268752205,0.0,11.3
7,1.3200000000000003,4.625934076042911,0.0,13.100000000000001
8,1.3200000000000003,4.625934076042911,0.0,13.100000000000001
9,1.3200000000000003,4.625934076042911,0.0,16.75
10,1.3200000000000003,4.625934076042911,0.0,16.75
11,1.2400000000000002,4.625934076042911,0.0,13.100000000000001
12,1.6800000000000002,4.750208125210601,0.0,13.100000000000001
13,0.8800000000000001,4.5016600268752205,0.0,13.100000000000001
14,1.3200000000000003,4.625934076042911,0.0,11.3
15,1.3200000000000003,4.625934076042911,0.0,13.100000000000001
16,0.8800000000000001,4.5016600268752205,0.0,11.3
17,1.2400000000000002,4.625934076042911,0.0,14.950000000000001
18,1.6800000000000002,4.750208125210601,0.0,13.100000000000001
19,0.8800000000000001,4.5016600268752205,0.0,13.100000000000001
20,0.8800000000000001,4.5016600268752205,0.0,11.3
21,1.2400000000000002,4.625934076042911,0.0,11.3
22,1.6,4.750208125210601,0.0,14.900000000000002
23,1.6,4.750208125210601,0.0,13.100000000000001
24,1.2400000000000002,4.625934076042911,0.0,11.3
25,1.2400000000000002,4.625934076042911,0.0,11.3
26,0.8800000000000001,4.5016600268752205,0.0,14.950000000000001
27,0.8800000000000001,4.5016600268752205,0.0,11.3
28,1.6800000000000002,4.750208125210601,0.0,11.3
29,1.6800000000000002,4.750208125210601,0.0,16.75
30,1.7600000000000002,4.750208125210601,0.0,14.900000000000002
31,1.3200000000000003,4.625934076042911,0.0,13.100000000000001
32,1.7600000000000002,4.750208125210601,0.0,11.3
33,0.8800000000000001,4.5016600268752205,0.0,11.3
34,1.3200000000000003,4.625934076042911,0.0,11.3
35,1.6800000000000002,4.750208125210601,0.0,13.100000000000001
36,1.7600000000000002,4.750208125210601,0.0,13.100000000000001
37,1.2400000000000002,4.625934076042911,0.0,14.950000000000001
38,1.2400000000000002,4.625934076042911,0.0,13.100000000000001
39,1.6,4.750208125210601,0.0,11.3
40,1.6800000000000002,4.750208125210601,0.0,14.950000000000001
41,1.2400000000000002,4.625934076042911,0.0,14.950000000000001
42,1.2400000000000002,4.625934076042911,0.0,14.950000000000001
43,1.6800000000000002,4.750208125210601,0.0,11.3
44,1.3200000000000003,4.625934076042911,0.0,11.3
45,1.2400000000000002,4.625934076042911,0.0,16.75
46,1.3200000000000003,4.625934076042911,0.0,11.3
47,1.3200000000000003,4.625934076042911,0.0,11.3
48,1.7600000000000002,4.750208125210601,0.0,11.3
49,1.7600000000000002,4.750208125210601,0.0,13.100000000000001
50,1.7600000000000002,4.750208125210601,0.0,11.3
51,1.6800000000000002,4.750208125210601,0.0,11.3
52,1.6800000000000002,4.750208125210601,0.0,11.3
53,1.3200000000000003,4.625934076042911,0.0,11.3
54,1.6800000000000002,4.750208125210601,0.0,14.950000000000001
55,1.6800000000000002,4.750208125210601,0.0,13.100000000000001
56,1.6800000000000002,4.750208125210601,0.0,11.3
57,1.3200000000000003,4.625934076042911,0.0,18.6
58,1.7600000000000002,4.750208125210601,0.0,11.3
59,1.7600000000000002,4.750208125210601,0.0,13.100000000000001
60,1.3200000000000003,4.625934076042911,0.0,11.3
61,1.6800000000000002,4.750208125210601,0.0,11.3
62,1.6,4.750208125210601,0.0,14.950000000000001
63,1.7600000000000002,4.750208125210601,0.0,13.100000000000001
64,1.6800000000000002,4.750208125210601,0.0,13.100000000000001
65,0.8800000000000001,4.5016600268752205,0.0,11.3
66,1.7600000000000002,4.750208125210601,0.0,11.3
67,0.8800000000000001,4.5016600268752205,0.0,13.100000000000001
68,1.3200000000000003,4.625934076042911,0.0,11.3
69,1.6,4.750208125210601,0.0,11.3
70,1.6,4.750208125210601,0.0,14.950000000000001
71,1.6800000000000002,4.750208125210601,0.0,11.3
72,0.8800000000000001,4.5016600268752205,0.0,11.3
73,0.8800000000000001,4.5016600268752205,0.0,14.950000000000001
74,0.8800000000000001,4.5016600268752205,0.0,14.950000000000001
75,0.8800000000000001,4.5016600268752205,0.0,13.100000000000001
76,1.2400000000000002,4.625934076042911,0.0,13.100000000000001
77,1.6,4.750208125210601,0.0,11.3
78,1.2400000000000002,4.625934076042911,0.0,13.100000000000001
79,1.6,4.750208125210601,0.0,13.100000000000001
80,0.8800000000000001,4.5016600268752205,0.0,11.3
81,1.6800000000000002,4.750208125210601,0.0,13.100000000000001
82,1.2400000000000002,4.625934076042911,0.0,11.3
83,0.8800000000000001,4.5016600268752205,0.0,11.3
84,1.6800000000000002,4.750208125210601,0.0,11.3
85,1.7600000000000002,4.750208125210601,0.0,13.100000000000001
86,1.3200000000000003,4.625934076042911,0.0,11.3
87,1.2400000000000002,4.625934076042911,0.0,13.100000000000001
88,1.6800000000000002,4.750208125210601,0.0,11.3
89,1.2400000000000002,4.625934076042911,0.0,11.3
90,1.3200000000000003,4.625934076042911,0.0,11.3
91,1.6800000000000002,4.750208125210601,0.0,11.3
92,1.2400000000000002,4.625934076042911,0.0,13.100000000000001
93,0.8800000000000001,4.5016600268752205,0.0,11.3
94,1.2400000000000002,4.625934076042911,0.0,11.3
95,1.3200000000000003,4.625934076042911,0.0,13.100000000000001
96,1.2400000000000002,4.625934076042911,0.0,11.3
97,1.7600000000000002,4.750208125210601,0.0,13.100000000000001
98,1.6,4.750208125210601,0.0,11.3
99,1.2400000000000002,4.625934076042911,0.0,13.100000000000001
100,1.6,4.750208125210601,0.0,11.3
101,1.3200000000000003,4.625934076042911,0.0,14.950000000000001
102,1.2400000000000002,4.625934076042911,0.0,11.3
103,1.7600000000000002,4.750208125210601,0.0,11.3
104,0.8800000000000001,4.5016600268752205,0.0,11.3
105,1.6,4.750208125210601,0.0,11.3
106,1.6,4.750208125210601,0.0,11.3
107,1.7600000000000002,4.750208125210601,0.0,11.3
108,1.3200000000000003,4.625934076042911,0.0,11.3
109,1.3200000000000003,4.625934076042911,0.0,14.950000000000001
110,1.2400000000000002,4.625934076042911,0.0,11.3
111,1.6,4.750208125210601,0.0,11.3
112,1.6800000000000002,4.750208125210601,0.0,11.3
113,1.3200000000000003,4.625934076042911,0.0,13.100000000000001
114,1.6,4.750208125210601,0.0,11.3
115,1.2400000000000002,4.625934076042911,0.0,13.100000000000001
116,1.2400000000000002,4.625934076042911,0.0,11.3
117,1.6800000000000002,4.750208125210601,0.0,11.3
118,1.7600000000000002,4.750208125210601,0.0,14.900000000000002
119,1.6,4.750208125210601,0.0,11.3
120,1.2400000000000002,4.625934076042911,0.0,11.3
121,1.3200000000000003,4.625934076042911,0.0,11.3
122,1.3200000000000003,4.625934076042911,0.0,11.3
123,1.3200000000000003,4.625934076042911,0.0,11.3
124,1.6800000000000002,4.750208125210601,0.0,11.3
125,1.6800000000000002,4.750208125210601,0.0,11.3
126,0.8800000000000001,4.5016600268752205,0.0,11.3
127,1.6800000000000002,4.750208125210601,0.0,11.3
128,1.6800000000000002,4.750208125210601,0.0,13.100000000000001
129,1.2400000000000002,4.625934076042911,0.0,11.3
130,1.6,4.750208125210601,0.0,14.950000000000001
131,1.6,4.750208125210601,0.0,11.3
132,1.6,4.750208125210601,0.0,13.100000000000001
133,0.8800000000000001,4.5016600268752205,0.0,11.3
134,1.3200000000000003,4.625934076042911,0.0,11.3
135,1.3200000000000003,4.625934076042911,0.0,11.3
136,1.6800000000000002,4.750208125210601,0.0,11.3
137,0.8800000000000001,4.5016600268752205,0.0,11.3
138,1.3200000000000003,4.625934076042911,0.0,11.3
139,1.3200000000000003,4.625934076042911,0.0,11.3
140,1.6800000000000002,4.750208125210601,0.0,11.3
141,1.3200000000000003,4.625934076042911,0.0,11.3
142,1.3200000000000003,4.625934076042911,0.0,11.3
143,1.2400000000000002,4.625934076042911,0.0,11.3
144,1.6800000000000002,4.750208125210601,0.0,13.100000000000001
145,1.6800000000000002,4.750208125210601,0.0,11.3
146,1.6,4.750208125210601,0.0,11.3
147,1.3200000000000003,4.625934076042911,0.0,11.3
148,1.7600000000000002,4.750208125210601,0.0,13.100000000000001
149,1.6,4.750208125210601,0.0,11.3
150,0.8800000000000001,4.5016600268752205,0.0,11.3
151,1.6800000000000002,4.750208125210601,0.0,13.100000000000001
152,1.6800000000000002,4.750208125210601,0.0,11.3
153,1.6800000000000002,4.750208125210601,0.0,11.3
154,1.2400000000000002,4.625934076042911,0.0,14.950000000000001
155,1.6800000000000002,4.750208125210601,0.0,11.3
156,1.6800000000000002,4.750208125210601,0.0,13.100000000000001
157,0.8800000000000001,4.5016600268752205,0.0,11.3
158,1.3200000000000003,4.625934076042911,0.0,11.3
159,1.6,4.750208125210601,0.0,13.100000000000001
160,1.6800000000000002,4.750208125210601,0.0,14.950000000000001
161,1.3200000000000003,4.625934076042911,0.0,13.100000000000001
162,1.7600000000000002,4.750208125210601,0.0,11.3
163,1.3200000000000003,4.625934076042911,0.0,11.3
164,1.6800000000000002,4.750208125210601,0.0,16.75
165,1.2400000000000002,4.625934076042911,0.0,11.3
166,1.3200000000000003,4.625934076042911,0.0,13.100000000000001
167,1.3200000000000003,4.625934076042911,0.0,11.3
168,1.7600000000000002,4.750208125210601,0.0,11.3
169,1.6800000000000002,4.750208125210601,0.0,11.3
170,1.3200000000000003,4.625934076042911,0.0,14.950000000000001
171,1.6800000000000002,4.750208125210601,0.0,11.3
172,1.2400000000000002,4.625934076042911,0.0,13.100000000000001
173,1.3200000000000003,4.625934076042911,0.0,13.100000000000001
174,1.2400000000000002,4.625934076042911,0.0,11.3
175,1.6,4.750208125210601,0.0,11.3
176,1.6800000000000002,4.750208125210601,0.0,11.3
177,1.6800000000000002,4.750208125210601,0.0,11.3
178,1.2400000000000002,4.625934076042911,0.0,11.3
179,1.2400000000000002,4.625934076042911,0.0,13.100000000000001
180,1.6800000000000002,4.750208125210601,0.0,13.100000000000001
181,1.7600000000000002,4.750208125210601,0.0,13.100000000000001
182,1.6800000000000002,4.750208125210601,0.0,14.950000000000001
183,1.2400000000000002,4.625934076042911,0.0,11.3
184,1.2400000000000002,4.625934076042911,0.0,13.100000000000001
185,1.6800000000000002,4.750208125210601,0.0,13.100000000000001
186,1.6800000000000002,4.750208125210601,0.0,11.3
187,1.7600000000000002,4.750208125210601,0.0,11.3
188,1.6,4.750208125210601,0.0,13.100000000000001
189,0.8800000000000001,4.5016600268752205,0.0,11.3
190,1.3200000000000003,4.625934076042911,0.0,13.100000000000001
191,1.7600000000000002,4.750208125210601,0.0,13.100000000000001
192,1.3200000000000003,4.625934076042911,0.0,11.3
193,1.6800000000000002,4.750208125210601,0.0,13.100000000000001
194,1.2400000000000002,4.625934076042911,0.0,11.3
